C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,3;32,9821329116821;1,735902;2,358004;0,4220389;
0,3;32,9833536148071;1,735966;2,363353;0,4225622;
0,3;32,9833536148071;1,735966;2,363353;0,4225622;
0,31;33,2562562227249;1,750329;2,388492;0,430283;
0,31;33,2564264535904;1,750338;2,387217;0,4301754;
0,31;33,2564264535904;1,750338;2,387217;0,4301754;
0,31;33,257398724556;1,75039;2,391182;0,4306109;
0,31;33,2562650442123;1,75033;2,388504;0,4302819;
0,32;33,5257569551468;1,764513;2,415741;0,4381372;
0,32;33,5267208814621;1,764564;2,418608;0,4383441;
0,32;33,5267208814621;1,764564;2,418608;0,4383441;
0,32;33,5255936384201;1,764505;2,415281;0,4380603;
0,32;33,5254054069519;1,764495;2,415028;0,4379382;
0,33;33,7916218042374;1,778506;2,445288;0,4459785;
0,33;33,7916218042374;1,778506;2,445288;0,4459785;
0,33;33,7904005050659;1,778442;2,440588;0,4455372;
0,33;33,790909409523;1,778469;2,441978;0,4456931;
0,33;33,790909409523;1,778469;2,441978;0,4456931;
0,3399999;34,0522130727768;1,792222;2,468271;0,4532434;
0,3399999;34,0516120195389;1,79219;2,469209;0,4533534;
0,3399999;34,0516120195389;1,79219;2,469209;0,4533534;
0,3399999;34,0516902208328;1,792194;2,46883;0,4532596;
0,3399999;34,0516610145569;1,792193;2,467169;0,4531902;
0,3499999;34,308720946312;1,805722;2,495632;0,4609216;
0,3499999;34,308720946312;1,805722;2,495632;0,4609216;
0,3499999;34,3084800243378;1,80571;2,493465;0,460636;
0,3499999;34,3085352182388;1,805712;2,495247;0,4608238;
0,3499999;34,3097370862961;1,805776;2,497574;0,4611563;
0,3599999;34,5621856451035;1,819062;2,524008;0,4683024;
0,3599999;34,5621247291565;1,819059;2,521712;0,4680986;
0,3599999;34,5621247291565;1,819059;2,521712;0,4680986;
0,3599999;34,5623090267181;1,819069;2,524338;0,4683613;
0,3599999;34,5617073774338;1,819037;2,521423;0,4682098;
0,3699999;34,8109685182571;1,832156;2,54483;0,4752293;
0,3699999;34,8109430074692;1,832155;2,543939;0,4751734;
0,3699999;34,8109430074692;1,832155;2,543939;0,4751734;
0,3699999;34,8113836050034;1,832178;2,542442;0,4751369;
0,3699999;34,8109900951386;1,832157;2,544944;0,4752201;
0,3799999;35,0568492412567;1,845097;2,570376;0,4822769;
0,3799999;35,0568398237228;1,845097;2,570201;0,4823492;
0,3799999;35,0572769641876;1,84512;2,57448;0,4826835;
0,3799999;35,056837439537;1,845097;2,570159;0,4823477;
0,3799999;35,056787610054;1,845094;2,569942;0,4822389;
0,3899999;35,2994689941406;1,857867;2,597092;0,4894356;
0,3899999;35,2995380163193;1,85787;2,598802;0,4895625;
0,3899999;35,2991014719009;1,857847;2,595841;0,4894125;
0,3899999;35,2991014719009;1,857847;2,595841;0,4894125;
0,3899999;35,2990350723267;1,857844;2,593756;0,4892616;
0,3999999;35,538231253624;1,870433;2,618321;0,4962064;
0,3999999;35,538231253624;1,870433;2,618321;0,4962064;
0,3999999;35,5383443832397;1,870439;2,619404;0,4961981;
0,3999999;35,5383893251419;1,870442;2,61944;0,4962018;
0,3999999;35,5383893251419;1,870442;2,61944;0,4962018;
0,4099999;35,7742432355881;1,882855;2,642976;0,5030552;
0,4099999;35,7744989395142;1,882868;2,644963;0,5033404;
0,4099999;35,7744281291962;1,882865;2,644014;0,5031044;
0,4099999;35,7743862867355;1,882862;2,643885;0,5030451;
0,4099999;35,7748551368713;1,882887;2,648728;0,5034843;
0,4199999;36,0077344179153;1,895144;2,672706;0,5102533;
0,4199999;36,0077810287476;1,895146;2,672863;0,5102348;
0,4199999;36,0074355602264;1,895128;2,666245;0,5097852;
0,4199999;36,0074568986893;1,895129;2,668697;0,5098616;
0,4199999;36,0074568986893;1,895129;2,668697;0,5098616;
0,4299999;36,2377098798752;1,907248;2,696458;0,5168645;
0,4299999;36,2373185157776;1,907227;2,691382;0,5164692;
0,4299999;36,237798333168;1,907253;2,696723;0,5169268;
0,4299999;36,2373743057251;1,90723;2,69355;0,5167059;
0,4299999;36,2383852005005;1,907283;2,696381;0,5171453;
0,4399998;36,4648954868317;1,919205;2,719857;0,5235072;
0,4399998;36,4648954868317;1,919205;2,719857;0,5235072;
0,4399998;36,4649252891541;1,919207;2,72018;0,5234815;
0,4399998;36,4648171663284;1,919201;2,719359;0,5233887;
0,4399998;36,464941740036;1,919208;2,720195;0,5235103;
0,4499998;36,6891518831253;1,931008;2,739924;0,5296613;
0,4499998;36,689152598381;1,931008;2,739768;0,5296549;
0,4499998;36,689152598381;1,931008;2,739768;0,5296549;
0,4499998;36,6891306638718;1,931007;2,73912;0,5296649;
0,4499998;36,6889990568161;1,931;2,737815;0,5296008;
0,4599998;36,9109112024307;1,94268;2,762604;0,5360675;
0,4599998;36,9111307859421;1,942691;2,76666;0,536431;
0,4599998;36,9109392166138;1,942681;2,761623;0,5360746;
0,4599998;36,9109927415848;1,942684;2,75997;0,5362194;
0,4599998;36,9109439849854;1,942681;2,760799;0,5362015;
0,4699998;37,1301820278168;1,95422;2,785282;0,5424657;
0,4699998;37,1303309202194;1,954228;2,789492;0,5427862;
